id,popularity
0gplL1WMoJ6iYaPgMCL0gX,85
5HCyWlXZPP0y6Gqq8TgA20,87
27NovPIUIRrOZoCHxABJwK,84
58UKC45GPNTflCN6nwCUeF,76
3rmo8F54jFF8OgYsqTxm5d,87
7wcWkzT1X75DguAwOWxlGt,52
50nfwKoDiSYg8zOCREWAm5,88
4ZtFanR9U6ndgddUvNcjcG,87
3Vi5XqYrmQgOYBajMWSvCi,82
5nujrmhLynf4yMoMtj8AQF,85
5FG7Tl93LdH117jEKYl3Cm,75
3DarAbFujv6eYNliUTyqtz,82
3USxtqRwSYz57Ewm6wWRMp,88
3Wrjm47oTz2sjIgck11l5e,86
6zSpb8dQRaw0M1dK8PBwQz,87
0k4d5YPDr1r7FX77VdqWez,83
5QO79kh1waicV47BqGRL3g,90
1WQ40xJSvgDmD9K7ckJwux,72
5CZ40GBx1sQ9agT82CLQCT,87
1zvk4QIyIcb7uI6BK5TkQ9,0
7ACW7VpgoKmfM1sKo15UhX,71
